symptom_en,symptom_th,symptom_th_alt,symptom_dialect,body_system,ui_label,is_user_facing
watering_from_eyes,น้ำตาไหล,"ตาแฉะ, น้ำตาคลอ, น้ำตาไหล, น้ำตาพร่ำ","น้ำตาย้อย, น้ำตาซึม",ตา,น้ำตาไหล (watering eyes),True
increased_appetite,กินจุ,"หิวบ่อย, กินเยอะ, กินจุ, อยากกินตลอด, กินไม่หยุด","กินเก่ง, กินหลาย, กินบ่อิ่ม",ต่อมไร้ท่อ/เมตาบอลิก,กินจุ (increased appetite),True
polyuria,ปัสสาวะบ่อย,"ฉี่บ่อย, ฉี่หลายครั้ง, ปัสสาวะบ่อย, ปวดฉี่ตลอด, ฉี่ตลอดวัน","เยี่ยวบ่อย, ปวดเบาบ่อย, เยี่ยวถี่",ทางเดินปัสสาวะ,ฉี่บ่อย (polyuria),True
family_history,ประวัติคนในครอบครัวเคยเป็นโรคนี้,พ่อ/แม่/พี่/น้องเคยเป็น,,ประวัติ/ปัจจัยเสี่ยง,ประวัติครอบครัว (family history),False
mucoid_sputum,เสมหะเหนียวขาว,"เสลดขาว, เสมหะใส, เสมหะขาว, เสลดเหนียว, เสมหะเหนียว","ขี้เสลดขาว, เสลดข้นขาว",ทางเดินหายใจ,เสมหะใส (mucoid sputum),True
rusty_sputum,เสมหะสีสนิม,"เสลดสีน้ำตาล, เสมหะสีสนิม, เสมหะสีน้ำตาล, เสลดเป็นสีสนิม","เสลดสีสนิม, เสลดปนเลือดเก่า, ขี้เสลดสีน้ำตาล",ทางเดินหายใจ,เสมหะสีสนิม (rusty sputum),True
lack_of_concentration,สมาธิสั้น,"ใจลอย, จดจ่อไม่ได้, สมาธิสั้น, ไม่มีสมาธิ, จำไม่ได้","ใจบ่อยู่กับเนื้อกับตัว, จดจ่อบ่ได้, สมาธิบ่ดี",จิตใจและพฤติกรรม,สมาธิสั้น (lack of concentration),True
visual_disturbances,การมองเห็นผิดปกติ,"ตามัว, เห็นภาพแปลก, มองไม่ปกติ, เห็นจุดดำ, แสงวูบวาบ","ตาพร่า, เห็นภาพแปลกๆ, สายตาเพี้ยน, มองเห็นผิดปกติ",ตา,การมองเห็นผิดปกติ (visual disturbance),True
receiving_blood_transfusion,เคยรับการให้เลือด,ประวัติให้เลือด,,ประวัติ/ปัจจัยเสี่ยง,ประวัติให้เลือด (transfusion history),False
receiving_unsterile_injections,เคยฉีดยาด้วยเข็มไม่สะอาด,ประวัติฉีดยาเสี่ยง,,ประวัติ/ปัจจัยเสี่ยง,ฉีดยาเข็มไม่สะอาด (unsterile injection),False
coma,หมดสติ,"ไม่รู้สึกตัว, สลบ",,ระบบประสาท,หมดสติ (coma),False
stomach_bleeding,เลือดออกในกระเพาะ,"อาเจียนเป็นเลือด, ถ่ายดำ, อ้วกเลือด, อาเจียนเลือด, ถ่ายเป็นยางมะตอย","เลือดออกในท้อง, เลือดออกในพุง, กระเพาะมีเลือด",ทางเดินอาหาร,เลือดออกในกระเพาะ (GI bleeding),True
distention_of_abdomen,ท้องโป่ง,"ท้องอืดมาก, ท้องตึง, ท้องป่อง, ท้องโป่ง, ท้องบวม","พุงป่อง, ท้องอืดโป่ง",ทางเดินอาหาร,ท้องโป่ง (abdominal distension),True
history_of_alcohol_consumption,ดื่มสุราเป็นประจำ,ประวัติดื่มเหล้า,,ประวัติ/ปัจจัยเสี่ยง,ประวัติดื่มสุรา (alcohol history),False
fluid_overload.1,น้ำเกินในร่างกาย (col ซ้ำ),บวมน้ำ — ใน itachi เป็น duplicate column,,หัวใจและหลอดเลือด,น้ำเกิน [duplicate],False
blood_in_sputum,ไอเป็นเลือด,"เสลดมีเลือด, ไอออกเลือด, ไอเป็นเลือด, เสลดเลือด, ไอแล้วมีเลือด","ไอมีเลือด, เสลดปนเลือด, ขากเป็นเลือด",ทางเดินหายใจ,ไอเป็นเลือด (hemoptysis),True
prominent_veins_on_calf,เส้นเลือดน่องชัด,"เส้นเลือดโผล่ที่น่อง, เส้นเลือดน่องชัด, เส้นเลือดเขียวที่ขา, เส้นเลือดขอด","เส้นเลือดน่องโป่ง, เส้นที่น่องชัด, เส้นขอดที่น่อง",หัวใจและหลอดเลือด,เส้นเลือดน่องโผล่ (prominent calf veins),True
palpitations,ใจสั่น,"หัวใจเต้นแรง, รู้สึกหัวใจเต้น, ใจสั่น, หัวใจเต้นรัว, ใจหวิว","ใจเต้นแรง, ใจตึ้กตั้ก",หัวใจและหลอดเลือด,ใจสั่น (palpitations),True
painful_walking,เดินเจ็บ,"เดินไม่ไหว, เดินแล้วเจ็บ, เดินกะเผลก, เจ็บขาเวลาเดิน","ย่างเจ็บ, เจ็บตอนเดิน",กล้ามเนื้อและข้อ,เดินเจ็บ (painful walking),True
pus_filled_pimples,สิวมีหนอง,"สิวอักเสบ, สิวหัวขาว, สิวมีหนอง, สิวอักเสบบวม, สิวหัวเหลือง","สิวเป็นหนอง, สิวหัวหนอง, เม็ดหนอง, สิวบวมหนอง",ผิวหนัง,สิวมีหนอง (pus-filled pimples),True
blackheads,สิวหัวดำ,"สิวอุดตัน, สิวหัวดำ, จุดดำที่จมูก, รูขุมขนดำ, สิวเสี้ยน","สิวหัวดำ, สิวเสี้ยน, สิวหัวขน",ผิวหนัง,สิวหัวดำ (blackheads),True
scurring,แผลเป็นสะเก็ด,"ผิวเป็นแผลเป็นแข็ง, สะเก็ดหนา, แผลเป็น, รอยแผลเป็น, สะเก็ดแข็ง","แผลตกสะเก็ด, สะเก็ดแผล, แผลเป็นขุย",ผิวหนัง,แผลเป็นสะเก็ด (scarring),True
skin_peeling,ผิวลอก,"ลอกเป็นแผ่น, ผิวลอก, ขุยขาว, ผิวแห้งลอก, ผิวเป็นขุย","หนังลอก, ผิวแตกลอก, หนังตกขุย",ผิวหนัง,ผิวลอก (skin peeling),True
silver_like_dusting,สะเก็ดสีเงินบนผื่น,"เป็นเกล็ดสีเงินที่ผิวหนัง, สะเก็ดเงิน, ขุยสีเงิน, ผื่นเป็นเกล็ด","สะเก็ดสีเงิน, ขุยสีเงินบนผื่น, ผื่นมีขุยเงา",ผิวหนัง,สะเก็ดเงินบนผื่น (silver scales),True
small_dents_in_nails,เล็บเป็นรอยบุ๋ม,"เล็บมีจุดเล็กๆ, เล็บเป็นรอยบุ๋ม, เล็บเป็นหลุม, เล็บมีรอย","เล็บเป็นรอยบุ๋ม, เล็บเป็นหลุม, เล็บเป็นรอยจุด",ผม/เล็บ,เล็บบุ๋ม (nail pitting),True
inflammatory_nails,เล็บอักเสบ,"เนื้อรอบเล็บแดง, เล็บบวม, เล็บอักเสบ, เล็บบวมแดง, ปวดเล็บ","ขอบเล็บบวม, เล็บเป็นหนอง, รอบเล็บแดง",ผม/เล็บ,เล็บอักเสบ (inflammatory nails),True
blister,ตุ่มน้ำพอง,"ตุ่มพุพอง, ตุ่มน้ำใส, ตุ่มน้ำ, ตุ่มพอง, ผิวพอง","ตุ่มน้ำ, ตุ่มพอง, เม็ดน้ำใส, ตุ่มน้ำใส",ผิวหนัง,ตุ่มน้ำพอง (blister),True
red_sore_around_nose,แผลแดงรอบจมูก,"แผลที่จมูก, แดงรอบจมูก, แผลแดง, ผื่นรอบจมูก, ผิวแดงข้างจมูก","แผลแดงข้างจมูก, แผลรอบรูจมูก, จมูกเป็นแผลแดง",ผิวหนัง,แผลรอบจมูก (red sore near nose),True
yellow_crust_ooze,สะเก็ดสีเหลืองมีน้ำเหลือง,"แผลมีน้ำเหลืองสีเหลือง, น้ำเหลืองไหล, สะเก็ดเหลือง, แผลแฉะ","แผลมีน้ำเหลือง, สะเก็ดเยิ้มเหลือง",ผิวหนัง,สะเก็ดเหลือง (yellow crust),True
